weekday,hour,grid_loss,industry_energy,heating,air_conditioning,others,lighting,hot_water,cooking,electric_vehicules
1,0,5623.25,13597,18634.75,455,16765.84,3280.16,6680,189,122
1,1,5476.77,13693,19232.23,450,16019.88,2761.12,6114,142,119
1,2,5298.59,13757,19512.41,455,16671.21,2605.79,4312,133,97
1,3,5243.39,13954,19449.61,460,16198.44,2520.56,2479,138,95
1,4,5342.31,14508,19434.69,486,15899.16,2589.84,1897,198,67
1,5,5612.32,15176,19904.68,535,17243.26,2895.74,2189,407,24
1,6,5926.53,15667,20380.47,588,21013.37,3662.63,2716,1006,29
1,7,6256.37,15873,20913.63,651,24987.21,5556.79,1422,1596,44
1,8,6532.97,15842,21264.03,733,27553.54,4535.46,1046,1134,54
1,9,6714.05,15810,21590.95,762,28294.64,3854.36,849,1040,52
1,10,6683.64,15874,20766.36,773,28927.69,3796.31,663,1111,43
1,11,6611.04,15949,19707.96,767,28969.79,3691.21,1249,1726,36
1,12,6516.81,15956,18569.19,728,26637.24,3517.76,2932,3129,41
1,13,6449.39,16073,18081.61,723,27431.3,3528.7,2191,1795,52
1,14,6323.64,16189,17361.36,756,28260.49,3461.51,1242,775,52
1,15,6248.8,16286,16822.2,765,27277.8,3368.2,900,675,53
1,16,6374.26,16257,17496.74,751,26068.17,3614.83,741,782,68
1,17,6526.55,16130,18533.45,742,25078.95,6146.05,928,1020,88
1,18,6654.4,15971,19851.6,728,25229.88,8004.12,1095,2729,99
1,19,6515.87,15876,18910.13,672,21572.98,8168.02,1326,6102,100
1,20,6408.06,15796,18686.94,648,19837.32,7671.68,1482,3794,114
1,21,6189.33,15710,18110.67,601,19116.22,6583.78,2113,1541,140
1,22,5941.91,15804,18138.09,512,17713.13,5578.87,6299,641,161
1,23,5725.04,15797,17988.96,499,17817.46,4489.54,8339,340,149
2,0,5777.06,15998,18549.94,500,17213.7,3510.3,6680,189,122
2,1,5667.85,15966,19150.15,480,16351.6,3004.4,6114,142,119
2,2,5522.94,16007,19434.06,491,16729.85,2868.15,4312,133,97
2,3,5453.37,16043,19377.63,488,16314.34,2735.66,2479,138,95
2,4,5539.2,16251,19360.8,507,16200.72,2774.28,1897,198,67
2,5,5790.67,16508,19824.33,545,17547.5,3035.5,2189,407,24
2,6,6089.44,16631,20283.56,601,21614.35,3789.65,2716,1006,29
2,7,6405.2,16682,20805.8,671,25421.41,5700.59,1422,1596,44
2,8,6673.72,16605,21145.28,737,27844.02,4637.98,1046,1134,54
2,9,6846.08,16528,21465.92,761,28431.22,3957.78,849,1040,52
2,10,6812.22,16506,20637.78,770,28983.26,3889.74,663,1111,43
2,11,6732.53,16573,19578.47,766,28832.15,3790.85,1249,1726,36
2,12,6630.3,16440,18438.7,710,26297.85,3624.15,2932,3129,41
2,13,6557.95,16433,17973.05,702,27304.29,3612.71,2191,1795,52
2,14,6425.63,16489,17278.37,744,28420.1,3545.9,1242,775,52
2,15,6346.31,16493,16765.69,748,27709.27,3464.73,900,675,53
2,16,6460.43,16457,17415.57,737,26574.61,3719.39,741,782,68
2,17,6593.93,16365,18423.07,724,25472.33,6229.67,928,1020,88
2,18,6703.08,16209,19710.92,711,25804.58,8121.42,1095,2729,99
2,19,6554.89,16203,18794.11,651,21872.19,8233.81,1326,6102,100
2,20,6440.43,16061,18585.57,624,20235.65,7742.35,1482,3794,114
2,21,6217.69,15959,18021.31,578,19637.64,6627.36,2113,1541,140
2,22,6017.18,15981,18046.82,516,18052.19,5647.81,6299,641,161
2,23,5842.04,15930,17894.96,496,18124.21,4526.79,8339,340,149
3,0,5767.25,15998,18447.75,500,17213.7,3510.3,6680,189,122
3,1,5657.59,15966,19043.41,480,16351.6,3004.4,6114,142,119
3,2,5512.77,16007,19327.23,491,16729.85,2868.15,4312,133,97
3,3,5443.74,16043,19277.26,488,16314.34,2735.66,2479,138,95
3,4,5530.38,16251,19268.62,507,16200.72,2774.28,1897,198,67
3,5,5782.3,16508,19737.7,545,17547.5,3035.5,2189,407,24
3,6,6081.7,16631,20203.3,601,21614.35,3789.65,2716,1006,29
3,7,6398.36,16682,20734.64,671,25421.41,5700.59,1422,1596,44
3,8,6667.87,16605,21085.13,737,27844.02,4637.98,1046,1134,54
3,9,6840.95,16528,21413.05,761,28431.22,3957.78,849,1040,52
3,10,6807.27,16506,20585.73,770,28983.26,3889.74,663,1111,43
3,11,6727.67,16573,19527.33,766,28832.15,3790.85,1249,1726,36
3,12,6625.44,16440,18388.56,710,26297.85,3624.15,2932,3129,41
3,13,6550.84,16433,17899.16,702,27304.29,3612.71,2191,1795,52
3,14,6416.36,16489,17181.64,744,28420.1,3545.9,1242,775,52
3,15,6334.52,16493,16642.48,748,27709.27,3464.73,900,675,53
3,16,6448.01,16457,17285.99,737,26574.61,3719.39,741,782,68
3,17,6581.15,16365,18289.85,724,25472.33,6229.67,928,1020,88
3,18,6689.94,16209,19573.06,711,25804.58,8121.42,1095,2729,99
3,19,6543.01,16203,18669.99,651,21872.19,8233.81,1326,6102,100
3,20,6428.64,16061,18463.36,624,20235.65,7742.35,1482,3794,114
3,21,6205.9,15959,17898.1,578,19637.64,6627.36,2113,1541,140
3,22,6005.93,15981,17930.07,516,18052.19,5647.81,6299,641,161
3,23,5831.69,15930,17788.31,496,18124.21,4526.79,8339,340,149
4,0,5757.44,15998,18346.56,500,17213.7,3510.3,6680,189,122
4,1,5647.87,15966,18942.13,480,16351.6,3004.4,6114,142,119
4,2,5502.78,16007,19223.22,491,16729.85,2868.15,4312,133,97
4,3,5433.3,16043,19166.7,488,16314.34,2735.66,2479,138,95
4,4,5519.85,16251,19160.15,507,16200.72,2774.28,1897,198,67
4,5,5772.22,16508,19632.78,545,17547.5,3035.5,2189,407,24
4,6,6072.97,16631,20113.03,601,21614.35,3789.65,2716,1006,29
4,7,6389.36,16682,20641.64,671,25421.41,5700.59,1422,1596,44
4,8,6657.61,16605,20978.39,737,27844.02,4637.98,1046,1134,54
4,9,6828.26,16528,21280.74,761,28431.22,3957.78,849,1040,52
4,10,6794.22,16506,20450.78,770,28983.26,3889.74,663,1111,43
4,11,6714.53,16573,19391.47,766,28832.15,3790.85,1249,1726,36
4,12,6612.21,16440,18250.79,710,26297.85,3624.15,2932,3129,41
4,13,6537.61,16433,17761.39,702,27304.29,3612.71,2191,1795,52
4,14,6403.13,16489,17044.87,744,28420.1,3545.9,1242,775,52
4,15,6321.11,16493,16503.89,748,27709.27,3464.73,900,675,53
4,16,6436.58,16457,17167.42,737,26574.61,3719.39,741,782,68
4,17,6572.15,16365,18195.85,724,25472.33,6229.67,928,1020,88
4,18,6683.73,16209,19509.27,711,25804.58,8121.42,1095,2729,99
4,19,6535.27,16203,18589.73,651,21872.19,8233.81,1326,6102,100
4,20,6420.54,16061,18378.46,624,20235.65,7742.35,1482,3794,114
4,21,6198.16,15959,17817.84,578,19637.64,6627.36,2113,1541,140
4,22,5998.28,15981,17850.72,516,18052.19,5647.81,6299,641,161
4,23,5824.31,15930,17711.69,496,18124.21,4526.79,8339,340,149
5,0,5727.06,16067,18268.94,500,17668.72,3508.28,6680,189,122
5,1,5627.4,16067,18864.6,480,16566.51,3000.49,6114,142,119
5,2,5490.4,16051,19146.6,491,16875.27,2867.73,4312,133,97
5,3,5417.19,16039,19093.81,488,16526.43,2733.57,2479,138,95
5,4,5503.1,16262,19088.9,507,16387.33,2769.67,1897,198,67
5,5,5762.65,16475,19564.35,545,17808.64,3035.36,2189,407,24
5,6,6063.67,16585,20047.33,601,21785.25,3782.75,2716,1006,29
5,7,6382.51,16609,20579.49,671,25820.51,5701.49,1422,1596,44
5,8,6649.21,16489,20922.79,737,28152.16,4625.84,1046,1134,54
5,9,6817.22,16449,21227.78,761,28828.8,3934.2,849,1040,52
5,10,6773.11,16371,20376.89,770,29506.74,3865.26,663,1111,43
5,11,6679.9,16419,19291.1,766,29283.94,3779.06,1249,1726,36
5,12,6555.42,16291,18128.58,710,26751.82,3602.18,2932,3129,41
5,13,6462.89,16224,17661.11,702,27433.55,3564.45,2191,1795,52
5,14,6305.75,16296,16968.25,744,28188.94,3474.06,1242,775,52
5,15,6196.25,16284,16453.75,748,27175.31,3353.69,900,675,53
5,16,6286.38,16149,17091.62,737,26082.27,3610.73,741,782,68
5,17,6398.07,16025,18090.93,724,25130.7,6147.3,928,1020,88
5,18,6497.77,15845,19373.23,711,24894.02,7970.98,1095,2729,99
5,19,6363,15710,18492,651,21199.74,8120.26,1326,6102,100
5,20,6268.35,15593,18293.65,624,19825.5,7653.5,1482,3794,114
5,21,6072.42,15429,17738.58,578,19717.49,6582.51,2113,1541,140
5,22,5915.63,15367,17772.37,516,18552.19,5635.81,6299,641,161
5,23,5772.3,15342,17628.7,496,18618.95,4531.05,8339,340,149
6,0,5623.33,15016,18178.67,438,17897.74,3399.26,7014,235,81
6,1,5528.31,15250,18770.69,461,15976.85,2954.15,6419,158,80
6,2,5366.4,15121,19053.6,485,16195.45,2816.55,4527,153,65
6,3,5209.73,14846,19006.27,481,15964.03,2680.97,2602,146,62
6,4,5135.82,14620,19003.18,496,15754.48,2698.52,1992,185,45
6,5,5184.92,14621,19474.08,513,15671.35,2874.65,2298,248,16
6,6,5296.99,14631,19776.01,528,16049.66,3337.34,2852,520,20
6,7,5497.81,14590,20338.19,557,17125.39,4939.61,1493,1060,29
6,8,5712.7,14567,20907.3,592,19844.13,3821.87,1099,1382,35
6,9,5914.29,14507,21403.71,615,22115.43,3259.57,891,1639,35
6,10,5978.35,14423,20560.65,616,23178.75,3177.25,696,2047,28
6,11,5961.18,14178,19532.82,619,22799.59,3083.41,1312,3368,23
6,12,5855.89,13961,18352.11,570,20983.16,2915.84,3079,5604,27
6,13,5770.46,13834,17877.54,561,21850.1,2872.9,2300,3661,35
6,14,5619.63,13850,17142.37,584,23212.84,2836.16,1304,1654,36
6,15,5491.57,13760,16537.43,582,22900.1,2795.9,945,1054,35
6,16,5593.02,13621,17117.98,577,21924.07,3079.93,777,1078,46
6,17,5748.95,13638,18045.05,566,20760.59,5533.41,974,1433,58
6,18,5916.24,13629,19270.76,602,21083.27,7358.73,1149,2955,66
6,19,5863.84,13602,18380.16,572,19099.18,7632.82,1392,5408,66
6,20,5874.25,13537,18221.75,550,16612.05,7338.95,1556,4729,76
6,21,5777.32,13495,17664.68,522,16480.24,7155.76,2218,2030,93
6,22,5716.33,13577,17722.67,466,16246.69,6205.31,6613,676,108
6,23,5635.28,13553,17567.72,447,17392.92,4822.08,8756,362,99
7,0,5490.08,13329,18061.92,430,18113.3,3236.7,7147,235,81
7,1,5397.15,13259,18653.85,426,16941.76,2722.24,6541,158,80
7,2,5238.79,13214,18932.21,422,17175.75,2558.25,4614,153,65
7,3,5066.76,13247,18881.24,424,16355.15,2458.85,2652,146,62
7,4,4951.94,13125,18879.06,422,15639.48,2484.52,2030,185,45
7,5,4927.49,13125,19354.51,434,14921.75,2635.25,2341,248,16
7,6,4957,13127,19673,436,14405.72,3012.28,2906,520,20
7,7,5087.08,13064,20247.92,436,14517.11,4442.89,1522,1060,29
7,8,5275.23,12972,20828.77,440,16843.91,3151.09,1120,1382,35
7,9,5484.63,13014,21335.37,432,19539.24,2550.76,908,1639,35
7,10,5590.62,13018,20470.38,422,21894.08,2533.92,710,2047,28
7,11,5616.11,12967,19417.89,415,22056.83,2465.17,1336,3368,23
7,12,5537.48,12947,18212.52,402,20400.85,2364.15,3137,5604,27
7,13,5452.05,12933,17736.95,409,20656.69,2307.31,2343,3661,35
7,14,5288.22,12902,17001.78,418,21695.36,2290.64,1329,1654,36
7,15,5137.07,12924,16396.93,422,21491.84,2267.16,964,1054,35
7,16,5241.5,12856,16998.5,419,20780.26,2561.74,792,1078,46
7,17,5447.95,12971,17951.05,419,19825.59,5034.41,993,1433,58
7,18,5684.94,13049,19205.06,467,20800.23,7030.77,1171,2955,66
7,19,5701.64,13091,18306.36,477,19630.61,7532.39,1418,5408,66
7,20,5757.87,13223,18145.13,482,17722.35,7226.65,1585,4729,76
7,21,5686.94,13392,17589.06,467,17237.59,7114.41,2260,2030,93
7,22,5623.13,13588,17647.87,439,15998.41,6155.59,6740,676,108
7,23,5524.26,13742,17495.74,430,16434.38,4709.62,8923,362,99

